founder,location,UG degree,UG school,g year,G degree,G school,g year,prof summary,early career,mid career,late career,key achievements,selected company,motivation,vision/mission,personal input,sources
Tatiana Birgisson,San Francisco Bay Area,BS in Economics,Duke University,2012,,,,"Tatiana Birgisson is an entrepreneur and innovator who founded MATI Energy, a healthy energy drink company, while she was an undergraduate at Duke University, growing the company from a dorm room startup to a significant player in the energy drink market. She has since brought her experience into growth and marketing with her various leadership roles in the startup industry.","Birgisson started brewing teas in her dorm room at Duke University as a sophomore, initially to help with her own struggles with depression. This personal project evolved into MATI Energy as friends and fellow students showed interest in her energizing brew, ultimately growing to over 20 employees and over $10MM raised.","In 2018, she stepped down from her role as CEO and went into industry, spending two years as an associate for McKinsey. She followed this stint with two more stints as marketing leads in tech startups, Ampush (growth marketing agency) and OpenStore (e-commerce management).","She has since taken up a role as VP of Growth at Rippling, a workforce management system that seeks to reduce frictions involved in everyday business tasks. Additionally, Birgisson has been appointed to the Board of Advisors of the Duke I&E program.","Founded MATI Energy as an undergraduate; Won the Duke Startup Challenge; Won Google Demo Day in 2015, named best startup in North America; Opened a 30,000 sq. ft. manufacturing facility; Named to Inc.com's list of ""30 Entrepreneurs to Watch Under 30""; Grew MATI Energy to over $1 million in sales",MATI Energy,"Birgisson created MATI Energy after her personal experience with depression and the need for a healthy energy boost. She states ""was struggling with depression and therefore [she] started making energy drinks for [her]self to stay awake."" Beginning with simply bottling her dorm-brewed tea, this personal need evolved into a fleshed-out business as she saw the potential to create a healthier alternative in the energy drink market.","MATI Energy's vision was to revolutionize the energy drink industry by providing a healthy, all-natural alternative. Birgisson aimed to create an energy drink that offered a no-jitters, no-crash experience, made with naturally brewed caffeine, vitamins, and antioxidants. The company's mission was to provide consumers with a healthier energy boost option in a market dominated by artificial and sugar-laden products.","Reflecting on MATI, Birgisson remarked that ""No matter how good of a job you do, there's always going to be [stuff] that happens. And you have to be willing and ready to do anything to get through it."" But, for her, it was only rewarding when her toiling gave her product a life of its own. ",https://today.duke.edu/2016/09/its-innovation-and-entrepreneurship-week-alumna-tatiana-birgisson-tells-her-story
Lisa Blau,"New York, New York, United States",BA in Public Policy,Duke University,1997,MBA,Harvard University,2003,"Lisa Blau is an entrepreneur, investor, and venture capitalist with a focus on health, wellness, and lifestyle companies. She is the co-founder and General Partner of Able Partners, a venture capital firm that invests in early-stage companies in the health and wellness space. Outside of industry, Blau actively supports female founders and is involved in various initiatives to promote democracy and gender equality.","Lisa began her career as a journalist and producer at CNN, from which she brought her background in technology and writing to co-found VitalJuice.com, a daily email newsletter on healthy living tips and trends, which was later acquired by Tasting Table. ","Following her first venture, Blau went on to help build and launch Portero, an online luxury goods auction platform that manually authenticating every item that is traded on its site; it was sold to Richemont. Pivoting from these personal ventures, Blau spent the next decade personally angel investing in consumer businesses, often in the health, wellness and active lifestyle space with a particular interest in supporting women-led entrepreneurial ventures.","In recent years, Blau co-founded Able Partners with Amanda Eilian. As a General Partner, she brings her angel investing ethos, focusing on investing in early-stage companies in the health, wellness, and lifestyle sectors. Able Partners has invested in over 50 companies, with more than 70% having female founders. Notable investments include Daily Harvest, Spring Health, Goop, and Bumble.","Co-founded Able Partners, a successful VC firm that has invested in over 50 companies, with a strong focus on female founders; Chairs the Investor Group of the Leadership Now Project; Founding member of the TIME'S UP Care Economy Business Council; Founder of Be Counted NYC and co-founder of Vote for NYC's Future; Board Member of The New York Public Library, KIPP New York, and The Mount Sinai Parenting Center",Able Partners,"Blau's long-standing interest in the wellness space and her desire to support early-stage entrepreneurs ultimately led her to co-found Able Partners, where they ""focus on supporting early-stage entrepreneurs in what [they] define as the positive living lifestyle space. These are brands that are helping the consumer live a healthier, happier, more meaningful life."" Then, from her perspective as a founder where she found the challenges facing female entrepreneurs especially more acute, she shaped her firms focus in which entrepreneurs to back.","Able Partners' vision is to invest in and support companies that improve consumers' lives while generating strong returns. Blau explains, ""You can invest for a great economic return and still have that be something that leaves people feeling better, being happier, and living more meaningful lives."" The firm aims to be thought leaders in identifying the best areas of opportunity for investment and innovation in the wellness and lifestyle sectors, all the while bringing diverse perspectives into the investor pipeline to support underrepresented founders.","Clarifying her firm's goals, Blau notes that they ""use 'positive living lifestyle space' versus 'wellness', which has more defined boundaries, because [they] wanted to take a broader view based on the belief that you can improve the consumer's life from many different angles."" From a higher level, Blau sees that ""at its core this work is part of the American dream.""","https://insider.fitt.co/8-lisa-blau-co-founder-of-able-partners/, https://ablepartners.medium.com/from-founders-to-funders-lisa-blau-and-amanda-eilian-on-the-venture-capital-landscape-0c41a07c82e1"
Bant Breen,"New York, New York, United States","BA in History, Art & Art History",Duke University,1993,MA,University of Cambridge,1995,"Bant Breen is a noted marketing and media executive, entrepreneur, and academic. He is the Founder and Chairman of Qnary, an award-winning global professional reputation management and talent branding solutions company. In addition, Breen has a distinguished career in advertising and digital marketing, having held leadership roles at major agencies and holding companies, including Harte Hanks, a NASDAQ listed marketing services company.","Breen started his career as a WPP Marketing Fellow, the ""golden ticket"" for an ad career, where he spent three years at various WPP agencies. After this exposure, Breen then spent time at Leo Burnett Worldwide, leading their European digital operations and integrating the global digital network now known as Arc Worldwide.","Breen founded and served as President of Bant Breen LLC, strategic marketing and communications consultancy affiliated with Dentsu Inc. After 3 years, Breen went back to industry with IPG, where he held various leadership roles including Executive Director of the IPG Emerging Media Lab, President of Worldwide Digital Communications at Initiative, and CEO of Reprise Media.","In recent years, Breen founded Qnary, where he serves as Chairman & CEO, focusing exclusively on reputation management and talent branding. On the side, he completed his PhD in 2020 at Blanquerna-Ramon Llull University, exploring the perceptions of artificial intelligence in the advertising industry. Breen is now lecturing on the topic, along with hosting The UNCAGED Show, providing voices to innovative executives.","Inducted into the AAF Advertising Hall of Achievement in 2010; Founded Qnary, an award-winning global company (listed as one of the 360 best companies by Entrepreneur magazine in 2018 and 2019); Led IPG's acquisition of Reprise Media in 2006; Managed IPG's investments in Facebook, Radian6, and other digital enterprises; Published an IPRA Gold award-winning paper on executive reputation in 2018; Advisor to the Emerson College and Blanquerna Center for Global Communications",Qnary,"Breen was driven to start Qnary by his realization of how essential an executive's online presence is; an executive’s online presence significantly impacts both personal and business reputations, influencing growth and opportunities, which ""was something that people didn't really kind of totally grok at that time."" He further noted that ""the engagement levels that content gets when it's shared by individuals is anywhere between eight to 20 times greater than what a brand can get organically.""","Qnary's vision is to optimize and grow the online presence of executives, recognizing the impact this has on both personal and business reputation. Breen emphasizes an ""evergreen strategy to build your reputation"" and help executives ""Own your presence and manage that."" The company aims to provide a tech-enabled platform with a ""white-glove approach,"" making it feel like a human experience for users while leveraging advanced technology in the background."," ""My personal mantra is 'Find a Way.' This helps me remain focused on being a creative problem solver."" It was this kind of mindset, he credits, that has driven Qnary's growth from an idea to a global company. Breen also emphasizes the importance of continuous learning and adaptation, evidenced by his late career pursuit of a PhD.",https://www.bantbreen.com 
Tyler Brock,"Charlotte, NC, US","BS in Economics, Computer Science, MMS",Duke University,2007,,,,"Tyler Brock is a seasoned technology executive and entrepreneur with a rich background in finance, software engineering, and leadership. Beginning in finance, he's built and scaled both engineering and early-stage SaaS revenue teams to success. He currently works at MongoDB, where he has been since 2011 (if you ignore the 7 year break he took found, scale, and sell Hustle), as the a Director of Engineer.","After graduating from Duke, Brock started his career in finance, working as an Analyst at BlackRock from 2007 to 2008. He then moved to Harvest Volatility Management LLC, a volatility arbitrage hedge fund, where he served as Vice President of Trading and Research from 2008 to 2011, focusing specifically on yield management, risk reduction, and wealth management solutions.","Brock pivoted into technology, co-founding Antenna.is (formerly ReadrBoard) in 2011, a SaaS helping companies track and improve their customer retention. There, he built the backend stack as the CTO. Following his exit, he joined MongoDB (then 10gen) as a Software Engineer on the Kernel Team - Platforms from 2011 to 2015. During this time, he also briefly worked as an Architect at Wander / Days in 2011, his first time getting inolved in the social networking sector.","After MongoDB, Brock brought his prior experience to co-found and serve as CTO of Hustle, an SMS-based messaging platform that aimed to be a more effective & scaled way of outreach and connection to the younger demographics. It was acquired by Social Capital in 2020; Brock left 2 years later. Since then, Brock has returned to MongoDB as Director of Engineering - Core Server, a position he currently holds.",Graduated from Duke with Distinction; Founded and exited multiple successful SaaS startups,"Hustle, Inc.","Brock doesn't post much. Nor has he said much. But, from his journey, including his pivot, it's safe to say that much of the motivation for co-founding Hustle came from his personal passion in building tech from the ground up and an entrepreneurial drive. Of course, given his stint Wander / Days, a social networking app, part of his motivation for founding Hustle may have also stemmed from a positive experience in the aforementioned sector.","Hustle aims to help organizations connect better with people. Its mission is to strengthen relationships by enabling real, human conversations at scale, allowing organizations to engage audiences with personalized texts and videos, using machine learning to handle millions of interactions. Focused on mission-driven groups, Hustle aims to support advocacy, fundraising, admissions, and recruiting by making communication more direct and impactful.",,
Anne Claire Broughton,"Durham, North Carolina, United States","BA in English, Environmental Studies",Oberlin College,1989,Certificate in Nonprofit Management,Duke University,2004,"Anne Claire Broughton is a consultant, educator, and advocate for employee ownership and sustainable business practices. She is the principal of Broughton Consulting, LLC, a certified B Corp, and a founder and board vice chair of the North Carolina Employee Ownership Center. Prior to this, Broughton has had extensive experience in advising early-stage businesses with SJF Ventures and founding SJF Institute.","After graduating from Oberlin, Broughton began her career as a Recycling Analyst at the Institute for Local Self-Reliance (1989-1990). She went on to work as an Associate at the Institute for Environmental Education and as the Recycling Coordinator for the City of Richmond Heights, Ohio. Following these roles, she spent five years at Recycling Today magazine, where she ultimately rose to the position of Editor in Chief.","Broughton then pivoted to the venture capital sector in 1999, joining SJF Ventures as Community Development Manager. In 2001, she became Executive Director of SJF Advisory Services, a role she held until 2007, before co-founding and serving as Senior Director of the SJF Institute from 2007 to 2013, a business accelerator affiliated with SJF Ventures and Investors' Circle, bringing over the expertise in employee engagement strategies and sustainable business practices she had developed prior.","Since then, in 2014, Broughton founded Broughton Consulting, LLC, focusing on helping businesses build thriving workplace cultures through employee engagement and ownership strategies. Additionally, in 2019, she co-founded the North Carolina Employee Ownership Center, serving as its Founder and Board Vice Chair.",Received the 2019 Visionary Leadership award from the North Carolina Business Council,SJF Institute,"Broughton's work at SJF Institute stemmed from her passion for creating good jobs and fostering employee engagement, stating that ""I got really excited about going into many companies and learning about them and how some companies you would walk in and everybody was engaged and excited. And the energy was fantastic. Other companies you walk in and the energy is terrible, and you feel bad. And so I started studying what makes some companies feel great and some feel you know, like you would really rather be anywhere else."""," SJF Institute's mission was to connect, inspire, and accelerate sustainable entrepreneurs and the fields that support them. Broughton's vision within this framework was to promote employee engagement and sustainable business practices. She aimed to help companies create environments where employees are aligned, excited, and moving in the same direction, while also focusing on positive impact and sustainability.","Broughton's emphasized the importance of not just implementing open-book management or employee ownership, but also ensuring that employees are educated and understand how these systems work -  ""The education, the transparency without the education is ridiculous."" As such, it was during her time at SJF Institute that she pimarily focused on providing such.",https://www.greatgame.com/podcast/episode84
Bill Brown,"New York, New York, United States",BS in Molecular Biology,Massachusetts Institute of Technology,1977,JD,Duke University,1980,,,,,,NET Power,,,,
Andrew Busey,"Austin, Texas, United States","BA in Computer Science, MMS",Duke University,1993,MBA,University of Pennsylvania,2005,,,,,,Conversable,,,,
Blake Byrnes,"Atlanta, Georgia, United States","BA in Computer Science, History Minor",Duke University,2002,,,,,,,,,Ulixee,,,,
Sonny Caberwal,San Francisco Bay Area,BA in International Business & Globalization (Program II),Duke University,2004,JD,Georgetown University,2004,,,,,,BOND,,,,
Scott Cadora,Atlanta Metropolitan Area,"BS in Industrial Management, BS in Foreign Studies",Georgia Institute of Technology,"1992, 1993",MBA,Duke University,2010,,,,,,Medicare Pathfinder,,,,
Ryan Caldbeck,San Franciso Bay Area,"BA in Public Policy, Psychology",Duke University,2001,MBA,Stanford University,2005,,,,,,CircleUp,,,,
Marcelo Camberos,United States,"BA in Economics, French",Duke University,1998,MBA,Stanford University,2007,,,,,,Ipsy ,,,,
Juan Pablo Capello,"Miami Beach, Florida, United States","BA in Economics, Spanish",Duke University,1989,JD,New York University,1992,,,,,,LAB Miami Ventures,,,,
Jed Carlson,"Durham, North Carolina, United States","BA in Economics, Environmental Studies",Bowdoin College,1995,MBA,Duke University,2005,,,,,,Adwerx,,,,
Lori Cashman,"Boston, Massachusetts, United States","BA in Public Policy, MMS",Duke University,1994,MBA,Boston University,1995,,,,,,Victress Capital,,,,
Bora Chang,"San Francisco, California, United States",BS in Biochemistryistry,University of Washington,2009,MD,Duke University,2017,,,,,,KelaHealth,,,,
Nicholas Chang,"Stanford University, California, United States","BS, MS in Biology",Stanford University,2008,MD,Duke University,2017,,,,,,Favor,,,,
Charlene Chen,"London, England, United Kingdom","BS in Computer Science, Psychology",Duke University,2003,MBA,"University of California, Berkeley",2009,,,,,,BitPesa,,,,
Rachael Chong,"Santa Barbara, California, United States",BA,Barnard College,2004,MPP,Duke University,2009,,,,,,Catchafire,,,,
Lin Chua,"New York, New York, United States","BComm in Economics, Accounting",University of Sydney,1997,JD,Duke University,2000,,,,,,InterNex Capital,,,,
Rachel Cook,"Portland, Oregon, United States","BA in Economics, English",Duke University,2006,,,,,,,,,Seeds,,,,
Dan Corkum,"Oakland, California, United States",No degree,Duke University,2009,,London School of Economics,,,,,,,Carbon Robotics,,,,
Gonzalo Costa,"Montevideo, Montevideo, Uruguay",BS in Industrial Engineering,Universidad Catolica Argentina,1994,MBA,Duke University,2001,,,,,,NXTP Labs,,,,
David Cummings,"Atlanta, Georgia, United States",BS in Economics,Duke University,2002,,,,,,,,,Atlanta Tech Village,,,,
Jack Davis,"Durham, North Carolina, United States",BA,Duke University,1990,JD,Duke University,1996,,,,,,CryptTV,,,,
Stephen Dean,"Chapel Hill, North Carolina, United States",BA,Not stated,2006,MBA,Duke University,2009,,,,,,Keona Health,,,,
Uki Deane,Miami-Fort Lauderdale Area,BA in Visual Arts,Duke University,2013,,,,,,,,,Bermies,,,,
John Dex,Greater Seattle Area,BA in English,Duke University,1988,,,,,,,,,MPIRICA,,,,
Harrison Dillon,"San Francisco, California, United States",BS in Biology,Emory University,1993,JD,Duke University,2003,,,,,,Solazyme,,,,
Mackenzie Drazan,"Rancho Santa Fe, California, United States","BA in Political Science, I&E",Duke University,2018,,,,,,,,,MiResource,,,,
Aaron Duke ,"Denver, Colorado, United States","BA in Geology, Environmental Science",Duke University,1998,,,,,,,,,CirrusMD,,,,
Ivonna Dumanyan,San Francisco Bay Area,BSE in Mechanical Engineering,Duke University,2018,,,,,,,,,Fathom AI,,,,
Fred Ehrsam,San Francisco Bay Area,"BS in Computer Science, Economics Minor",Duke University,2010,,,,,,,,,Coinbase,,,,
Basil Enan,"San Francisco, California, United States",BA in Political Science ,Duke University,2003,MBA,Columbia University,2007,,,,,,Discors,,,,
Jason Ethier,"Houston, Texas, United States",BSE in Mechanical Engineering,Duke University,2010,,,,,,,,,Dynamo Micropower,,,,
Dan Evans,"San Diego, California, United States",BS in Electrical and Computer Engineering,Calvin University,2011,ME,Duke University,2012,,,,,,RecoverX,,,,
Russell Fadel,"Monterey, California, United States",BSE in Mechanical Engineering,Duke University,1982,,,,,,,,,Augmentir,,,,
Dan Feldstein,"Fort Mill, South Carolina, United States","BA in Mathematics, Public Policy",Duke University,1990,MBA,University of Pennsylvania,1994,,,,,,RED Ventures,,,,
Josh Felser,"San Francisco, California, United States",BA in Political Science ,Duke University,1986,MBA,Duke University,1990,,,,,,Freestyle Capital,,,,
Andrew First,"New York, New York, United States","BS in Electrical and Computer Engineering, Computer Science",Duke University,2010,,,,,,,,,Leanplum,,,,
Kathryn Fortunato,"New York, New York, United States",BA  in Economics,Duke University,2006,,,,,,,,,Lizza Fortuno Jewels,,,,
Lizze Fortunato,"New York, New York, United States","BA in Art History, English",Duke University,2006,,,,,,,,,Lizza Fortuno Jewels,,,,
Amanda Freeman,"New York, New York, United States",BA in Sociology,Duke University,1997,MBA,Harvard University,2003,,,,,,SLT Fitness,,,,
Eric Futoran,"Culver City, California, United States","BSE, BS in Electrical and Computer Engineering, Computer Science",Duke University,1999,JD & MBA,New York University,2006,,,,,,Scopely,,,,
Dylan Gambardella,"New York, New York, United States","BA in Public Policy, Economics",Duke University,2017,,,,,,,,,Next Gen Summit,,,,
Hareesh Ganesan,United Kingdom,"BSE in Biomedical Engineering, Computer Science",Duke University,2012,,,,,,,,,Towerview Health,,,,
Pamir Gelenbe,United Kingdom,BSE in Electrical Engineering,Duke University,1995,MS in Operations Research,Columbia University ,1997,,,,,,CoinSummit,,,,
Chuck Ghoorah,"McLean, Virginia, United States","AB in Political Science, History",Duke University,1991,JB/MA,Duke University,1994,,,,,,Cvent,,,,
Maria Gibbs,"South Bend, Indiana, United States",BSE in Civil Engineering,Duke University,2012,PhD in Civil Engineering,University of Notre Dame,2017,,,,,,Invanti,,,,
Bob Gilbreath,"Cincinnati, Ohio, United States",BA in Economics,Duke University,1994,MBA,New York University,1999,,,,,,Ahalogy,,,,
Russel Glass,"Menlo Park, California, United States","BSE in Mechanical Engineering, Economics",Duke University,1998,,,,,,,,,Bizo,,,,
Sarah Glatt,Greater Boston,"BSE in Biology, Biochemistry",Brandeis University,2003,MBA,Duke University,2008,,,,,,Paper Crane Associates,,,,
Jennifer Goldfarb,"Snowmass Village, Colorado, United States","BA in English, History",Duke University,1997,MBA,Stanford University,2002,,,,,,Ipsy,,,,
Mitchel Gorecki,"New York, New York, United States",BSE in Biomedical Engineering,Duke University ,2013,MBA,Duke University,2018,,,,,,LivingLAB,,,,
Sanj Goyle,"Menlo Park, California, United States",BA in Economics,Duke University,1989,JD,Boston University,1993,,,,,,Finxera,,,,
Mangesh Hattikudur,"Brooklyn, New York, United States",BA in Culanth,Duke University,2001,,,,,,,,,Mental Floss,,,,
Dan Hauber,"New York, New York, United States",BSE in Economics,Duke University,2002,MBA,INSEAD,2011,,,,,,Wright Bedding,,,,
Stephen Hawthornthwaite,"Palm Beach, Florida, United States",BA in Political Science,Duke University,1992,JD,Wake Forest,1996,,,,,,Rothy's,,,,
Anli He,San Francisco Bay Area,BE in Comp Eng,Wuhan University,1999,MBA,Duke University,2013,,,,,,uSens,,,,
Sue Heilbronner,"Boulder, Colorado, United States",BA in Government,Oberlin College,1987,JD/MPP,Duke University,1991,,,,,,MergeLane,,,,
Christian Hernandez Gallardo,,BA in Economics,Duke University,1997,MBA,University of Pennsylvania,2003,,,,,,White Star Capital,,,,
Max Hodak,"Mountain View, California, United States",BSE in Biomedical Engineering,Duke University,2012,,,,,,,,,Transcriptic,,,,
Damien Hoffman,New York City Metropolitan Area,BA in Public Policy,Duke University,2000,JB,University of Miami,2004,,,,,,Cheat Sheet,,,,
Rebecca Holmes,Raleigh-Durham-Chapel Hill Area,"BA in Dance, Markets & Management Studies Certificate",Duke University,2015,,,,,,,,,Ello Raw,,,,
Eric Huang,"Durham, North Carolina, United States","AB in History, Literature",Harvard University,1990,MD/PhD,Duke University,2003,,,,,,KelaHealth,,,,
Natalie Hwang,"New York, New York, United States","BA in Public Policy, Economics",Duke University,2001,JD,University of Virginia,2005,,,,,,Apeira Capital,,,,
Akshita Iyer,Atlanta Metropolitan Area,BS in Neuroscience,Duke University,2014,,,,,,,,,Ome,,,,
Danielle James,"New York, New York, United States","BA in Public Policy, Psychology",Duke University,2006,,,,,,,,,Model Citizen,,,,
Chetan Jhaveri,"Philadelphia, Pennsylvania, United States","BS in Economics, Public Policy",Duke University,2009,MBA/MPA,Massachusetts Institute of Technology & Harvard University,2017,,,,,,Sophia,,,,
Sid Kandan,"Los Altos, California, United States",BSE in Electrical and Computer Engineering,Duke University,2013,,,,,,,,,Stel Life,,,,
Yunha Kim,"San Francisco, California, United States","BS in Economics, Asian & Middle Eastern Studies",Duke University ,2011,MBA (dropped out),Stanford University,2017,,,,,,Simple Habit,,,,
Dave Kirkpatrick,"Durham, North Carolina, United States","BA in Physics, History",Duke University,1982,MBA,Univeristy of North Carolina,1991,,,,,,SJF Ventures,,,,
Kasper Kubica,"Durham, North Carolina, United States","BS in Physics, Computer Science",Duke University,2017,,,,,,,,,Carpe Lotion,,,,
Alexander Kvamme,"Menlo Park, California, United States","BA in Public Policy, MMS",Duke University,2010,,,,,,,,,SeatMe,,,,
David L.Johnson,"New York, New York, United States","AB in Psychology, Markets & Management Studies Certificate",Duke University,1998,MBA,Georgetown,2004,,,,,,Atlas Certified,,,,
Sterling Lanier,"Menlo Park, California, United States",BA in English,Duke University,1995,MBA,"University of California, LA",2002,,,,,,Tonic Health,,,,
Dylan Lauren,"New York, New York, United States",BA in Art History,Duke University,1996,,,,,,,,,Dylan's Candy Bar,,,,
Ryan Lee,"San Francisco, California, United States","BA in Biochemistry, Economics",Duke University,2004,JD,Emory University,2010,,,,,,Tuuthfairy,,,,
Thomas Lehrman,"Nashville, Tennessee, United States",BA in History,Duke University,1995,JD,Yale University,2004,,,,,,Gerson Lehrman Group,,,,
Howard Lerman,"Miami Beach, Florida, United States",BA in History,Duke University,2002,,,,,,,,,Yext,,,,
Gabrielle Levac,San Francisco Bay Area,"BS in Stat, Phil, MMS",Duke University,2014,,,,,,,,,Fathom AI,,,,
Dan Levitan ,"Seattle, Washington, United States","BA in History, MMS",Duke University,1979,MBA,Harvard University,1983,,,,,,Maveron,,,,
Jes Lipson,"Raleigh, North Carolina, United States",BA in Philosophy,Duke University,2000,,,,,,,,,ShareFile,,,,
Howie Liu,"San Francisco, California, United States","BSE in Mechanical Engineering, Public Policy",Duke University,2009,,,,,,,,,Airtable,,,,
Poman Lo,"Hong Kong, Hong Kong SAR",BA in Psychology,Duke University,1999,Masters in Buddhist Studies,Univeristy of Hong Kong,2023,,,,,,Century Innovative Technology,,,,
Yoav Lurie,"Boulder, Colorado, United States",BA in Public Policy,Duke University,2005,,,,,,,,,SimpleEnergy,,,,
Jason Lynn,"New York, New York, United States","BA in Economics, Public Policy",Duke University,1995,,,,,,,,,Mparticle,,,,
John Mattox,"Los Angeles, California, United States",BA in Philosophy,Emory University,,MBA,Duke University,2007,,,,,,ERC dEX,,,,
Sean McCormack,"New York, New York, United States","BS in Statistics, Psychology",Duke University,2010,,,,,,,,,StockFuse,,,,
Rob McDonald,"Cincinnati, Ohio, United States","BA in Political Science, MMS",Duke University,2005,JD,Washington University in St. Louis,209,,,,,,The Brandery,,,,
Stephen Meyer,"San Francisco, California, United States","BA in Pulbic Policy, Spanish Minor, MMS",Duke University,2006,MBA,Harvard University,,,,,,,Lift Ventures,,,,
Kathryn Minshew,"New York, New York, United States","BA in Political Science, French",Duke University,2008,,,,,,,,,The Muse,,,,
Brian Model,"Tampa, Florida, United States",BA in Economics,Duke University,1988,MBA,Columbia University,2001,,,,,,SwipeToSpin,,,,
Shashi Mudunuri,"Houston, Texas, United States","BA in Computer Science, Philosophy",Duke University,2003,MBA,Duke University,2011,,,,,,American Journal Experts (AJE),,,,
Rosanna Myers,"San Francisco, California, United States",BA in Political Science,Duke University,2009,,,,,,,,,Carbon Robotics,,,,
Meranee Naaman,"Bethesda, Maryland, United States","BS in Biology, History, Chemistry",Duke University,1998,MBA,Northerwestern University,2005,,,,,,The Riverside Company,,,,
Emmet Nicholas,Greater Seattle Area,"BSE in Electrical and Computer Engineering, Computer Science",Duke University,2008,,,,,,,,,Airtable,,,,
Andrew Ofstad,"San Francisco, California, United States","BSE in Electrical and Computer Engineering, Economics",Duke University,2008,,,,,,,,,Airtable,,,,
Vamsee Pamula,"Durham, North Carolina, United States",BE in Electrical and Computer Engineering,"University College of Engineering, Osmania University",1994,PhD,Duke University,2000,,,,,,Baebies,,,,
Odysseas Papadimitriou,United States,BSc in Civil Engineering,Brow University,2000,MBA,Duke University,2006,,,,,,WalletHub,,,,
Aaron Patzer,"Palmetto, Florida, United States","BSE in Electrical and Computer Engineering, Computer Science",Duke University,2002,dropped out PhD,Princeton University,2004,,,,,,Mint.com,,,,
Josh Payne,"Nashville, Tennessee, United States",BS in Computer Information Systems,Indiana University Bloomington,2002,MBA,Duke University,2008,,,,,,Onward and Open Sky Ventures,,,,
Will Pearson,"Atlanta, Georgia, United States",BA in History,Duke University,2001,,,,,,,,,iHeart Media,,,,
Noah Perin,"Seattle, Washington, United States","BA in Molecular, Cellular, and Developmental Biology","University of California, Santa Cruz",1999,MBA & MPP,Duke University,2006,,,,,,VIA Global Health,,,,
Zachary Perret,"San Francisco, California, United States","BS in Chemistry, Biology",Duke University,2010,,,,,,,,,Plaid,,,,
Vadim Polikov,"Fulton, Maryland, United States",BSE in Biomedical Engineering,Duke University,2003,PhD,Duke University,2009,,,,,,Legends of Learning,,,,
Michael Pollack,"San Diego, California, United States",BS in Electrical Engineering,Purdue University,1994,PhD,Duke University,2001,,,,,,Advanced Liquid Logic (ALL),,,,
Dan Pollard,"Chapel Hill, North Carolina, United States","BSE in Biomedical Engineering, Electrical Engineering",Duke University,1992,MBA/PhD,Duke University,1994,,,,,,myDrugCosts,,,,
JB Pritzker,Greater Chicago Area,"BA in Political Science, Government",Duke University,1987,JD,Northwestern,1993,,,,,,1871,,,,
Erik Rannala,"Austin, Texas Metropolitan Area",BS,University of Deleware,,MBA,Duke University,,,,,,,MuckerLab,,,,
Joanna Rees,"San Francisco, California, United States",BS in Psychology,Duke University,1983,MBA,Columbia University,1990,,,,,,West Ventures,,,,
Matt Rising,"Los Angeles, California, United States",BA in History,Duke University,2007,JD,UCLA,2013,,,,,,Swell Energy,,,,
Carmichael Roberts,Greater Boston,BS in Chemistry,Duke University,1990,PhD,Duke University,1995,,,,,,Arsenal Medical,,,,
Jason Robins,"Boston, Massachusetts, United States","BS in Economics, Computer Science, Mathematics",Duke University,2003,,,,,,,,,DraftKings,,,,
Tom Rose,"Brookline, Massachusetts, United States",BSE in Biomedical Engineering,Duke University,2005,MBA,MIT,2011,,,,,,Testive,,,,
Kerry Rupp,"Austin, Texas Metropolitan Area",BA in Biology,Duke University,1993,MBA,Harvard University,1999,,,,,,True Wealth Ventures,,,,
Eric Savage,"Bengaluru, Karnataka, India",BA in Economics,Duke University,1992,MPA/MC,Harvard University,2007,,,,,,Unitus Capital,,,,
Jim Scheinman,"Los Altos, California, United States",BS in Neurosicence,Duke University,1988,JD,UC Davis,1995,,,,,,Maven Ventures,,,,
Aaron Schumm,"New York, New York, United States",BS in Finance,University of Illinois Urbana-Champaign,2000,MBA,Duke University,2007,,,,,,Vestwell,,,,
Jonathan Seeber,"Washington, District of Columbia University, United States","BA in History, Computer Science",Duke University,1998,MBA,Harvard University,2004,,,,,,Updata Partners,,,,
Justin Segall,"Boulder, Colorado, United States","BA in Political Science, History Minor",Duke University,2005,,,,,,,,,SimpleEnergy,,,,
Reed Shaffner,"Cary, North Carolina, United States","BA in Public Policy, Biology & Chemistry Minors",Duke University,2006,,,,,,,,,Workpop,,,,
Ian Shakil,"San Francisco, California, United States",BSE in Biomedical Engineering,Duke University,2006,MBA,Stanford University,2012,,,,,,Augmedix,,,,
Amit Sharma,United States,BS in Electrical Engineering,VJTI Mumbai,,MBA,Duke University,,,,,,,Narvar,,,,
Neil Sharma,"New York, New York, United States","BS in Biology, Psychology",Duke University,1996,MBA,Columbia University ,2003,,,,,,SolarKal,,,,
Chimay Singh,San Francisco Bay Area,BTech in Mechanical Engineering,KNIT Sultanpur,,MBA,Duke University,2006,,,,,,SimplifiMed,,,,
Dylan Smith,"Menlo Park, California, United States",BS in Economics,Duke University,2008,,,,,,,,,Box,,,,
David Spratte,"Durham, North Carolina, United States","BS in Health Policy, Chemistry, PPE (Philosophy, Politics, and Economics)",UNC/Duke University,2017,,,,,,,,,Carpe Lotion,,,,
Jake Stauch,San Francisco Bay Area,dropped out,Duke University,2015,,,,,,,,,Neuroplus,,,,
Jeff Sun,"Falls Church, Virginia, United States","BA in Biochemistry, Cell Biology",Rice University,2008,MHS,Duke University,2016,,,,,,KelaHealth,,,,
