founder,location,UG degree,UG school,g year,G degree,G school,g year.1,prof summary,early career,mid career,late career,key achievements,selected company,motivation,vision/mission,personal input,sources
Blake Byrnes,"Atlanta, Georgia, United States","BA in Computer Science, History Minor",Duke University,"2,002",,,,"Blake Byrnes is a seasoned entrepreneur and the Co-Founder of Ulixee, a technology-focused company that develops innovative solutions. With a robust background in fostering disruptive ideas, Byrnes has been deeply engaged in multiple startups across various sectors, demonstrating his expertise in technology and entrepreneurship.","Blake Byrnes began his career in technology and entrepreneurship after graduating from Duke University. His early experiences included roles at startups such as BlueFletch Mobile and Less Meeting, where he honed his skills in product development and innovation.","In the mid-career stage, Byrnes took on more significant challenges and responsibilities, exemplified by his role at CrowdMind. During this period, he further established his reputation as a leader in the tech startup ecosystem and deepened his involvement in creating disruptive technologies that address real-world problems.","Currently, Blake Byrnes is in the late career stage as the Co-Founder and leader of Ulixee. He continues to drive forward innovative products and spearhead initiatives that aim to change the landscape of technology solutions, further solidifying his status as a key player in the industry.","Among his key achievements, Byrnes has been instrumental in developing several innovative technology products at Ulixee and has contributed to the filing of multiple patents, showcasing his commitment to advancing technology.",Ulixee,"Byrnes is motivated by a passion for disruptive ideas and innovation, striving to create solutions that can significantly impact the technology landscape and improve efficiency in various sectors.","His vision at Ulixee revolves around pushing the boundaries of technology to develop products that not only solve existing problems but also anticipate future challenges, ultimately driving the industry forward.",Byrnes often expresses that his passion for entrepreneurship stems from a desire to not only innovate but also to make meaningful contributions to society through technology.,"https://www.linkedin.com/in/blake-byrnes, https://github.com/ulixee, https://www.duke.edu"
Sonny Caberwal,San Francisco Bay Area,BA in International Business & Globalization (Program II),Duke University,"2,004",JD,Georgetown University,"2,004","Sonny Caberwal is a seasoned entrepreneur and CEO based in the San Francisco Bay Area, recognized for his contributions to technology and education. He is the founder of Legends, a platform dedicated to developing confidence-building skills in children. With a diverse background in law, corporate strategy, and start-ups, Sonny has played pivotal roles in various ventures, emphasizing community, creativity, and culture.","Sonny graduated from Duke University with a focus on International Business and Globalization, before pursuing a Juris Doctor at Georgetown University. He started his career as a Corporate Lawyer at Chadbourne & Parke LLP, where he worked on corporate structuring and compliance issues. In 2005, he ventured into entrepreneurship by co-founding Tavalon Tea, which laid the foundation for his future entrepreneurial pursuits.","Sonny’s mid-career was marked by co-founding Exclusively.com, one of India's pioneering e-commerce platforms, where he served as the COO. Following this, he founded Bond, a technology company that specialized in innovative handwriting software, which was later acquired by Newell Brands, where he led digital innovation efforts. Each role deepened his expertise in tech and entrepreneurship.","In recent years, Sonny has focused on leveraging technology to empower youth. In 2021, he founded Legends, a confidence-training platform for children. Under his leadership, Legends has secured significant funding and has developed a curriculum aimed at enhancing children's self-esteem through daily practice and engagements, addressing a critical social concern in today's environment.","1. Successfully co-founded Tavalon Tea and Exclusively.com, contributing to the growth of the e-commerce sector in India. 2. Founded Bond, which innovated handwriting software and was acquired by Newell Brands. 3. Launched the Legends platform in 2024, which secured $6M in seed funding to help enhance children’s confidence levels significantly.",BOND,"Sonny is driven by a commitment to community building, the importance of raising confident children, and a passion for technology that positively impacts society. His personal experiences as a father and a member of a diverse community inspire his work.","Sonny's mission is to empower children by equipping them with the skills of confidence and resilience, making it an essential part of their emotional and social development. He envisions a future where all children can thrive and face challenges with self-assurance.","""Confidence is a skill, not a trait. It can be trained and developed with practice. I'm committed to ensuring future generations have the tools they need to build that confidence from a young age.""","https://www.buildlegends.com/about, https://www.duke.edu/about/, https://www.prnewswire.com/news-releases/legends-the-first-platform-built-to-measurably-increase-confidence-in-kids-launches-out-of-stealth-with-6m-in-seed-funding-302085413.html"
Scott Cadora,Atlanta Metropolitan Area,"BS in Industrial Management, BS in Foreign Studies",Georgia Institute of Technology,"1992, 1993",MBA,Duke University,"2,010","Scott Cadora is an accomplished entrepreneur based in the Atlanta Metropolitan Area with a focus on healthcare technology and analytics. He is the founder and CEO of Medicare Pathfinder, a startup dedicated to simplifying Medicare options for seniors using data science. He holds dual degrees in Management and International Affairs from the Georgia Institute of Technology and an MBA from Duke University's Fuqua School of Business.","Scott began his entrepreneurial journey at the age of 17, founding his first company. He later co-founded Pinnacle, a human capital consulting firm, where he advised investors and private equity firms on facilitating expansion plans and complex M&A transactions. This experience laid the foundation for his future ventures in technology and healthcare.","During his mid-career, Scott founded TeachKnowledge, a learning technology firm, which showcased his dedication to educational innovation. His work in these firms built his expertise in business development, technology integration, and healthcare analytics, ultimately leading to the establishment of Medicare Pathfinder, aimed at optimizing senior healthcare choices.","In his later career, Scott has focused on scaling Medicare Pathfinder, currently operating within the Advanced Technology Development Center’s Accelerate program at Georgia Tech. His emphasis on using data analytics to empower seniors reflects his commitment to improving healthcare outcomes and transparency in healthcare options.","Scott has successfully raised significant investment capital for Medicare Pathfinder, allowing it to enhance its technology and user experience for seniors. He won a prestigious startup competition at the Health Datapalooza conference in 2016, highlighting the value and impact of his solutions for seniors navigating Medicare options.",Medicare Pathfinder,"Scott's motivation stems from his personal experiences helping his 99-year-old grandmother navigate Medicare, revealing the complexities and difficulties many seniors face. This drove him to create solutions that empower seniors, reduce unnecessary healthcare costs, and improve decision-making in healthcare planning.","Scott's vision is to make healthcare choices simpler and more accessible for seniors, ensuring they receive optimum benefits at a manageable cost. His mission focuses on using data science to facilitate informed decision-making and increase transparency in healthcare options.","""Creating innovations that improve lives is what drives me as an entrepreneur. I believe in empowering individuals to make informed decisions, especially in healthcare, where the stakes are incredibly high.""","https://www.ratemyprofessors.com, https://atdc.org, https://medicarepathfinder.com, https://about.me/scottcadore"
Ryan Caldbeck,San Franciso Bay Area,"BA in Public Policy, Psychology",Duke University,"2,001",MBA,Stanford University,"2,005","Ryan Caldbeck is a seasoned entrepreneur and investor based in the San Francisco Bay Area, recognized for his role as the co-founder and Chairman of CircleUp, a fintech platform revolutionizing the investment landscape for emerging consumer brands through advanced machine learning technology. With a strong background in private equity, he leverages technology to bring efficiency and transparency to private investing.","Ryan Caldbeck began his professional journey after earning an MBA from Stanford University in 2005, initially working as an Associate at Bain Capital and The Boston Consulting Group. He then transitioned to the private equity sector, spending seven years as an investor with TSG Consumer Partners and Encore Consumer Capital, where he identified inefficiencies in private investing for consumer companies.","In 2011, Ryan co-founded CircleUp, where he served as CEO until 2020. During this period, he led the firm in harnessing technology to create a systematic investing platform, utilizing machine learning to evaluate emerging consumer brands. His leadership helped CircleUp grow and adapt in a changing investment landscape, focusing on making investments more data-driven.","Since transitioning to the role of Chairman in 2020, Ryan has continued to oversee CircleUp's strategic vision and expansion while exploring the establishment of a quant fund for private markets. He remains influential in the investment community, pushing the boundaries of how private equity is approached.","Ryan has been recognized with multiple accolades such as 'Power Broker in Beauty' from Women's Wear Daily and 'Titan of Retail' from Bloomberg. Under his direction, CircleUp has been acknowledged as one of Fast Company's Top 10 Most Innovative Companies in Data Science and named to several prestigious lists including CNBC Disruptor 50 and Forbes FinTech 50.",CircleUp,"Ryan is motivated by the desire to empower entrepreneurs and improve the funding landscape for small consumer brands. His experiences in private equity highlighted the need for a better solution tailored for emerging companies, driving him to innovate through technology.","Ryan's vision is to leverage technology to transform private investing, providing entrepreneurs with the necessary capital and resources they need to thrive. He aims to bring the data revolution that has transpired in public markets to the private sphere, enhancing transparency and efficiency.","Ryan believes in the importance of trust in relationships, defining it as a formula: Trust = (Reliability x Credibility x Authenticity) / Self-Interest. He emphasizes the significance of collaboration with individuals who share similar values of integrity and intellectual curiosity.","https://www.circleup.com, https://www.forbes.com, https://www.huffpost.com, https://www.bloomberg.com, https://www.fastcompany.com, https://www.inc.com, https://www.businessinsider.com, https://www.linkedin.com/in/ryancaldbeck"
Marcelo Camberos,United States,"BA in Economics, French",Duke University,"1,998",MBA,Stanford University,"2,007","Marcelo Camberos is the Founder and Chairman of the Board of ipsy, a leading beauty subscription service that promotes self-expression and community engagement through personalized beauty experiences. With a rich background in venture capital and digital media, he has played pivotal roles in innovative companies including Funny or Die and Real Influence.","Marcelo began his career in venture capital as a member of JPMorgan Partners, where he focused on investing in innovative Latin American companies. His entry into digital media started at Funny or Die, where he was instrumental in launching the platform and exploring new content avenues. This experience laid the foundation for his future entrepreneurial ventures.","In 2011, Marcelo co-founded ipsy alongside beauty creator Michelle Phan. Under his leadership, ipsy grew rapidly, harnessing the power of social media influencers and creating a strong online community. His innovative approach to beauty subscription services transformed consumer engagement within the industry, leading to significant revenue growth and a dedicated subscriber base.","Marcelo currently serves as the Chairman of the Board for ipsy, focusing on strategic growth and community engagement. His ongoing commitment to empowering beauty creators and subscribers reflects his vision of democratizing beauty and fostering creativity in self-expression. He continues to mentor aspiring entrepreneurs and share insights on building community-driven businesses.","Founding ipsy, which has become the world’s largest beauty subscription service with over 1.5 million subscribers and significant annual revenue. Pioneered the celebrity endorsement model through Real Influence, connecting brands with online creators. Successfully scaled Funny or Die, playing a crucial role in its launch and development.",Ipsy ,"Marcelo is motivated by a desire to inspire self-expression and creativity among individuals, especially in the beauty space. He believes in the power of community and collaboration as essential elements for personal and professional growth.",Marcelo's vision is to democratize beauty by delivering personalized experiences and fostering a vibrant community of beauty enthusiasts. He aims to create a culture where diverse expressions of beauty are celebrated and supported.,"In his own words, Marcelo emphasizes, 'You can’t be a good entrepreneur without a good support system.' He values transparency, hard work, and the importance of relationships in building successful ventures.","https://www.linkedin.com/in/marcelocamberos, https://twitter.com/citizenofcambe, https://www.facebook.com/marcelocamberos, https://www.stanfordbusiness.com/marcelo-camberos-think-critically-and-independently"
Juan Pablo Capello,"Miami Beach, Florida, United States","BA in Economics, Spanish",Duke University,"1,989",JD,New York University,"1,992","Juan Pablo Cappello is a distinguished attorney and entrepreneur based in Miami, Florida, specializing in corporate law, mergers and acquisitions, and venture capital. With a robust background in international law, he is recognized for his extensive experience in Latin America and the United States, particularly in navigating complex legal landscapes for corporate transactions and cryptocurrencies. As the founding partner of PAG Law, he has earned accolades for his innovative approach in supporting venture capital initiatives and has been acknowledged as one of the most influential figures in his field.","Juan Pablo Cappello began his legal career working at renowned law firms, including Cleary, Gottlieb, Steen & Hamilton in New York and Philippi, Yrarrazaval in Santiago, Chile. He focused on international financing, securities offerings, and joint ventures. His early work paved the way for his future success in corporate law and laid the foundation for his understanding of the Latin American market.","In the mid stages of his career, Cappello became a partner and director at Patagon.com, leading the company through its sale to Banco Santander for over $750 million. He served as General Counsel and Executive VP at Patagon Bank, which further solidified his expertise in corporate law and M&A. Subsequently, he became a Principal Shareholder at Greenberg Traurig’s Latin American Group, where he provided legal services across complex corporate transactions.","Currently, as the founding partner of PAG Law, Juan Pablo Cappello continues to influence the field of corporate law, especially in the areas of M&A and venture capital. He has been actively involved in the crypto space, offering legal guidance to leading crypto ventures since 2012. His leadership at PAG Law has positioned the firm as a prominent cross-border law firm servicing Latin America and the US.","Cappello has been named the 'Lawyer of the Year' in Derivatives and Futures Law by US News/Best Lawyers and has received multiple honors, including 'Leading Corporate/M&A Lawyer of the Year - Latin America' by M&A Today. He is recognized for his consistent presence in 'The Best Lawyers in America' for over a decade across various specialties, including Corporate Law and Securities Law. He was also listed among the 'Most Influential Hispanics' by Poder magazine.",LAB Miami Ventures,Juan Pablo's motivation stems from a desire to bridge the gap between legal frameworks and entrepreneurial initiatives in Latin America. His commitment to supporting venture capital reflects his belief in the transformative potential of innovative businesses in the region.,"His vision is to foster a thriving entrepreneurial ecosystem in Latin America by providing exceptional legal services that empower businesses to succeed in a competitive landscape. He aims to be a catalyst for growth and innovation, enhancing the legal infrastructure to support emerging ventures.","Juan Pablo emphasizes the importance of understanding the unique needs of each client, stating, 'Legal advice should not only be about compliance but also about facilitating growth and innovation for businesses.'","https://www.pag.law, https://www.duke.edu, https://www.latinvex.com, https://www.floridabar.org, https://www.justia.com"
Jed Carlson,"Durham, North Carolina, United States","BA in Economics, Environmental Studies",Bowdoin College,"1,995",MBA,Duke University,"2,005","Jed Carlson is a seasoned entrepreneur and the CEO of Adwerx, bringing over 25 years of experience across various industries. Known for his expertise in SaaS, startup growth, and mentoring, he has previously founded successful companies including ReverbNation and The Carlson Print Group. He is dedicated to fostering the entrepreneurial community in Durham, North Carolina, through mentorship and investment.","Jed Carlson's early career was marked by founding The Carlson Print Group, a business he successfully grew until its acquisition in 2000. This experience laid the foundation for his entrepreneurial journey, particularly in understanding market dynamics and customer acquisition.","In the mid-stages of his career, Jed co-founded ReverbNation, a platform for independent musicians, in 2006. He played a pivotal role in its development and strategic direction, leading to its acquisition in 2021. This period solidified his reputation as an innovator in digital marketing tools.","Currently, as the CEO of Adwerx, Jed focuses on simplifying online advertising for small businesses. His role as a Founder-in-Residence at the Center for Entrepreneurial Development (CED) allows him to share his wealth of knowledge with emerging entrepreneurs and support the startup ecosystem in North Carolina.","- Founded Adwerx, recognized for its growth and user-friendly advertising tools.  
- Co-founded ReverbNation and led it to a successful exit in 2021.  
- Established The Carlson Print Group, paving the way for his later entrepreneurial ventures.  
- Named to Inc.'s Best Places to Work and listed on Inc. 5000 for fastest growing companies.",Adwerx,Jed is motivated by a desire to empower small business owners through accessible technology and marketing resources. He believes in providing solutions that level the playing field for startups and independent entrepreneurs.,"Jed envisions a vibrant entrepreneurial ecosystem where aspiring founders have access to invaluable resources and support, enabling them to achieve their business goals and contribute positively to their communities.","""I want to build marketing tools that level the playing field for the small business owner. I’m obsessed about making cutting-edge tools accessible to those with smaller budgets.""","https://www.cednc.org/about/impact-team/, https://www.grepbeat.com/2024/06/meet-jed-carlson-ceo-adwerx/"
Lori Cashman,"Boston, Massachusetts, United States","BA in Public Policy, MMS",Duke University,"1,994",MBA,Boston University,"1,995","Lori Cashman is a seasoned managing partner at Visible Ventures and co-founder of Victress Capital, with a robust background in private equity and venture capital. Her expertise lies in investing in early-stage, consumer-focused companies, particularly those led by diverse teams. Lori is known for her visionary approach, commitment to mentorship, and passion for fostering strong company cultures.","Lori began her career in the finance sector with a 15-month accelerated MBA program while working in audit. She swiftly transitioned into investing roles, first at Seidler Equity Partners and later at Heritage Partners. This initial experience built a solid foundation for her subsequent ventures in private equity, highlighting her adaptability and proficiency in the financial landscape.","During her mid-career, Lori co-founded Lineage Capital, which honed her skills in evaluating successful business models and understanding operational and market challenges. This period marked her increasing involvement in board governance and mentoring, as she started developing a network focused on supporting diverse business founders.","In her later career, Lori co-founded Victress Capital, driven by her passion for addressing the gender funding gap. She has been vocal about the need for gender-diverse influence in the entrepreneurial ecosystem and has dedicated herself to investing in companies that lead with inclusive practices. Additionally, she engages heavily in community and university initiatives, nurturing future leaders in venture capital.","Lori has been recognized with the Forever Duke Award for her contributions to society and women in business. She holds prominent board positions, including Chair for the Duke University Sanford School of Public Policy Board of Visitors. Her ventures have taken successful stakes in various innovative firms, significantly impacting the consumer sector, particularly those led by women.",Victress Capital,"Lori’s motivation stems from her personal experiences in the finance industry, where she noted the significant gender disparities in funding and representation. This realization prompted her to leverage her expertise and network to uplift and empower women-led businesses, aligning her professional pursuits with her personal values.","Lori's mission is to bridge the gap in venture capital for female entrepreneurs, ensuring that investment and mentorship opportunities are accessible to underrepresented groups. She envisions a more equitable entrepreneurial landscape where diverse perspectives drive innovation and success.","""I feel very, very fortunate for the success that I have had, and I feel an obligation, in particular, to young women to help them grow their networks.""","https://visibleventures.com, https://sanford.duke.edu/news/alumna-pays-it-forward-by-investing-in-women, https://giving.duke.edu, https://sanford.duke.edu/50-years-of-public-policy-at-duke"
Bora Chang,"San Francisco, California, United States",BS in Biochemistryistry,University of Washington,"2,009",MD,Duke University,"2,017","Bora Chang, MD is the Founder and CEO of kelaHealth, a pioneering AI-enabled surgical intelligence platform that enhances surgical care through predictive analytics and tailored patient insights. With a robust background in medicine and research, Bora leads efforts to innovate and improve patient outcomes in the surgical domain.","Bora began their career as a Research Assistant in the Silber Lab at the University of Washington in 2006, where they gained foundational research experience. By 2008, they transitioned to the Fred Hutchinson Cancer Research Center as a Research Scientist. In 2009, Bora committed to educational outreach as a Corps Member with Teach for America, showcasing a dedication to both science and community.","From 2011 to 2013, Bora further solidified their expertise in healthcare as a Clinical Research Coordinator at the Children's National Medical Center, coupled with an Associate role at the National Women's Health Network. This period was marked by deep involvement in clinical research and advocacy in women’s health, reflecting a passion for making a difference.","Since 2017, as the Founder and CEO of kelaHealth, Bora has focused on transforming surgical care using data science. Leading the commercialization of kelaHealth's predictive technology, Bora has leveraged their clinical and scientific expertise to enhance healthcare workflows and improve clinical outcomes.",#NAME?,KelaHealth,Bora is motivated by a desire to improve surgical care and enhance patient outcomes through the application of advanced technology and data analytics. Their commitment to augmenting clinical decision-making stems from a robust combination of clinical experience and scientific inquiry.,"Bora's mission is to employ predictive analytics to guide surgical care, making it more proactive and tailored towards individual patient needs. They envision a future where advanced data science solutions seamlessly integrate into clinical practice to elevate the quality and effectiveness of healthcare delivery.","""Innovation in healthcare is not just about technology, it's about understanding and improving the patient experience through informed decision-making and actionable insights.""","https://www.kelahealth.com, https://www.pmwcintl.com, https://www.linkedin.com/in/borachang"
Nicholas Chang,"Stanford University, California, United States","BS, MS in Biology",Stanford University,"2,008",MD,Duke University,"2,017","Nicholas Bambos is the Richard W. Weiland Professor in the School of Engineering at Stanford University with joint appointments in Electrical Engineering and Management Science & Engineering. He is known for his expertise in computer systems performance engineering and has contributed significantly to networking, cloud computing, and healthcare analytics through over 300 peer-reviewed publications.","Bambos began his academic career as an assistant professor at UCLA, where he developed his research interests in electrical engineering and computer sciences. He progressed from assistant to associate professor, gaining tenure and recognition in the field before transitioning to Stanford University in 1996.","During his mid-career stage, Bambos held the position of Director of the Stanford Networking Research Center, overseeing a significant research project with a funding of approximately $30 million. He also served as the Fortinet Founders Department Chair of the Management Science & Engineering Department from 2016 to 2020, while establishing himself as a leader in the research of computer performance systems.","Bambos continues to lead research initiatives through the Computer Systems Performance Engineering Lab (Perf-Lab) at Stanford, mentoring doctoral students and collaborating with industry visitors on various projects. His later career has focused on data analytics, with specific attention to applications in medical and healthcare sectors.","He has published over 300 peer-reviewed research papers, graduated more than 40 doctoral students who have taken leadership roles in various industries, and received several best paper awards. His research has substantially contributed to fields such as networking, multimedia streaming, and security.",Favor,"Bambos is motivated by the desire to solve complex engineering problems and enhance the performance and security of computer systems, as well as the impact of technology on health and society.","His vision is to advance the field of computer systems engineering while fostering innovation and collaboration among academia and the technology industry, promoting research that enhances societal wellbeing.",I believe in the power of collaboration across disciplines to address the challenges faced in engineering and health technology. The intersection of these fields can lead to transformative solutions.,"https://profiles.stanford.edu/nicholas-bambos, https://engineering.stanford.edu/faculty/nicholas-bambos"
Charlene Chen,"London, England, United Kingdom","BS in Computer Science, Psychology",Duke University,"2,003",MBA,"University of California, Berkeley","2,009","Charlene Chen is an accomplished Chief Operating Officer at BitPesa, leveraging over a decade of experience in both the private and social sectors to innovate financial solutions in sub-Saharan Africa. With a strong educational background in psychology, computer science, and business, she combines technical expertise with a passion for social entrepreneurship to enhance digital payment systems across the continent.","Charlene began her professional journey as an IT consultant with Deloitte Consulting, where she refined her analytical and technical skills. During this time, she developed a foundational understanding of business processes and technology deployment, which would serve her well in future roles. It was during her MBA program that she pivoted her career focus towards social entrepreneurship, technology, and mobile financial services, particularly in the context of sub-Saharan Africa.","In the mid-stage of her career, Charlene transitioned to leadership positions within technology-driven companies, notably as the Chief Operating Officer at BitPesa. In this role, she played a crucial part in expanding the company’s impact by simplifying and reducing the costs of remittance and business payments in multiple African countries. Her work during this period was instrumental in bridging financial services with mobile technology for underserved markets.","Looking toward the future, Charlene is poised to continue her influence in fintech, particularly focused on innovative financial solutions that empower individuals and businesses across Africa. As the digital economy evolves, she aims to further integrate digital currencies into mainstream financial practices, enhancing financial inclusion and driving economic growth in the region.","Charlene was recognized as one of Innotribe’s 'Power Women in Fintech' in 2015, highlighting her significant contributions to the fintech sector. Under her leadership, BitPesa has expanded its services across East and West Africa, facilitating smoother transaction processes for various businesses and establishing itself as a critical player in the African digital finance landscape.",BitPesa,Charlene is driven by a desire to leverage technology to create equitable financial systems that serve communities in emerging markets. Her passion for social impact fuels her commitment to enhancing access to financial resources for individuals and enterprises alike.,"Charlene envisions a future where digital financial solutions are accessible to all, enabling inclusivity and fostering economic development across Africa. Her mission is to drive innovation in financial services that empower underserved populations and stimulate sustainable growth.","""Technology is not just about making money; it's about making a difference. Every financial solution we develop helps bridge the gap for those who are often left out of traditional banking systems.""","http://medschool.duke.edu, https://www.africatechsummit.com, https://www.bitpesa.co"
Rachael Chong,"Santa Barbara, California, United States",BA,Barnard College,"2,004",MPP,Duke University,"2,009","Rachael Chong is the Founder and CEO of Catchafire, a pioneering skills-based volunteer matching platform that connects professionals with nonprofits. With a strong background in investment banking and microfinance, she has dedicated her career to creating impactful opportunities for skilled volunteers to serve the social good sector, promoting efficiency and effectiveness in nonprofit organizations.","Rachael began her career as an investment banker after graduating summa cum laude from Barnard College. She worked at UBS and Goldman Sachs, where she gained valuable knowledge about financial systems and the economy. This early experience laid the groundwork for her later transition into the nonprofit sector.","In her mid-career phase, Rachael shifted from investment banking to microfinance, helping to build BRAC USA and raising substantial funds for the organization. This experience highlighted inefficiencies in the nonprofit sector, which inspired her to create Catchafire in 2009, aimed at revolutionizing volunteer engagement.","As Rachael continues her journey, she has solidified her position as a leader in social entrepreneurship. Under her guidance, Catchafire has grown to become a leading platform in skills-based volunteering, earning recognition and accolades while fostering community impact and engagement.","Rachael has been named one of Fast Company's 100 Most Creative People in Business (2012, 2014) and received the Tribeca Disruptive Innovation Award. Catchafire has facilitated pro bono services worth millions to nonprofits, significantly impacting the social good landscape. In 2014, she was honored as a Young Global Leader by the World Economic Forum and received an honorary PhD from Merrimack College.",Catchafire,Rachael's motivation stems from a deep-rooted desire to improve the lives of those who are financially disadvantaged. Her formative experiences witnessing severe poverty in Beijing at a young age galvanized her commitment to mobilizing change and fostering equitable access to resources.,"Rachael's vision is to create a more efficient and effective social good sector where it is commonplace to serve for the greater good, ensuring that all nonprofit organizations have access to top talent, and all individuals have opportunities to use their skills for societal benefit.","Rachael believes in the transformative power of volunteerism and states, 'It is essential for everyone to find ways to give back, not just for the impact on others, but for the personal growth it brings.'","https://en.wikipedia.org/wiki/Rachael_Chong, https://www.merrimack.edu/news/star-charlie-day-98-to-deliver-undergraduate-commencement-keynote-address/"
Lin Chua,"New York, New York, United States","BComm in Economics, Accounting",University of Sydney,"1,997",JD,Duke University,"2,000","Lin Chua is a seasoned structured finance and capital markets executive with over 20 years of global experience, including extensive leadership roles in financial services. As a co-founder and the President, CFOO, and Head of Capital Markets at InterNex Capital, she focuses on innovative lending solutions for small and mid-sized businesses. Her legal background and executive experience at GE Capital have shaped her approach to transforming secured lending.","Lin Chua began her career as a transactional lawyer working at prestigious law firms such as Simpson Thacher & Bartlett in New York, and De Brauw in the Netherlands. Her work initially focused on private equity, corporate finance, and capital markets, laying a strong foundation for her later roles in finance.","In her mid-career, Lin served as Managing Director at GE Capital for nearly a decade, where she held various senior leadership roles and achieved significant recognition for growth. During this time, she played a pivotal role in managing and expanding the company’s global corporate finance portfolio.","Since co-founding InterNex Capital in 2015, Lin has focused on digitizing and innovating the lending process for lower middle-market businesses. As COO and head of Capital Markets, she focuses on creating ease and transparency in secured lending, using her legal and financial expertise to guide the company's strategy.","- Co-founded InterNex Capital as a digital asset-based lender specializing in small and mid-sized business financing. 
- Served as Managing Director at GE Capital, receiving multiple awards for contributions to corporate growth. 
- Holds an LLM from Duke University and has received the 2015 Alumni Award from Duke Law.",InterNex Capital,Lin is driven by a desire to innovate within the financial services sector and provide unique lending solutions that enhance the growth potential of lower middle-market businesses. Her background in both law and finance fuels her passion for transforming traditional lending practices.,"Lin's vision is to fundamentally change the way businesses access working capital by leveraging technology and data analytics to provide faster, more transparent, and user-friendly lending solutions.","""Build that community of support and help people back because that’s the network that will be helping you.""","https://www.internexcapital.com/about, https://www.linkedin.com/in/lin-chua, https://law.duke.edu/news/volunteer-profile-lin-chua-llm-00-duke-university-school-law"
Rachel Cook,"Portland, Oregon, United States","BA in Economics, English",Duke University,"2,006",,,,"Dr. Rachel Cook is an experienced Hematology/Oncology specialist at Oregon Health & Science University (OHSU), focusing on leukemia, myelodysplastic syndromes, and stem cell transplants. With over 22 years in practice, she combines clinical excellence with a commitment to patient-centered care.","Rachel embarked on her medical journey after receiving her M.D. from Loyola University in 2002, followed by an internal medicine residency at Mayo Clinic, Rochester. Her early career involved foundational training in hematology and oncology during her fellowship at the University of Pennsylvania, completed in 2009.","In her mid-career, Dr. Cook became an Associate Professor of Medicine at OHSU, where she has developed a strong focus on the management of hematologic malignancies. She has taken on various roles including Site Director for Acute Leukemia at the Center for Hematologic Malignancies, enhancing her leadership and patient care responsibilities.","As a late-career specialist, Rachel is recognized for her expertise in blood cancers and her dedication to transplant therapies. Her leadership at OHSU, alongside ongoing patient care, reflects her respected status in the hematology community and her ongoing contributions to research and education.","Key achievements include becoming a Site Director for Acute Leukemia, contributing to significant advancements in patient treatments, and achieving a patient satisfaction rating of 4.9 out of 5. She is an active member of the American Society of Hematology, reflecting her commitment to professional engagement and continuous learning.",Seeds,"Dr. Cook is motivated by a passion for improving patient outcomes in the face of serious illnesses. Her experience with patients undergoing difficult treatments drives her commitment to providing compassionate and informed care, ensuring they make the best decisions for their health.","Rachel's mission is to enhance the lives of patients with blood cancers through innovative treatments and comprehensive support, while also investing in the education of future healthcare professionals in the field of hematology.","""I strive to be a supportive guide for my patients during their toughest times, helping them navigate their treatment decisions with clarity and confidence.""","https://www.ohsu.edu/, https://medifind.com/doctors/rachel-j-cook/1086462717, https://www.healthcare6.com/"
Dan Corkum,"Oakland, California, United States",No degree,Duke University,"2,009",,London School of Economics,,"Dan Corkum is a co-founder of Carbon Robotics, a pioneering robotics company focused on creating low-cost, easy-to-use robotic systems for manufacturers. With a background from Duke University, Corkum has combined technical expertise with entrepreneurial spirit to make significant contributions to the robotics industry, positioning his company as one of the top 50 influential firms globally.","During his time at Duke University, Corkum was initially inclined toward a traditional career path in consulting or banking. However, his involvement in a student-led record label and participation in the Duke Startup Challenge sparked his passion for entrepreneurship. Winning the Startup Challenge with a project that improved cooling efficiency allowed him to see the potential for starting a business.","After graduation, Corkum co-founded Carbon Robotics with Rosanna Myers. The company developed innovative robotic arms designed to be both affordable and easy to program, addressing significant software and hardware challenges in the robotics field. Under his leadership, Carbon Robotics received accolades like the DukeGEN Startup Showcase award, further solidifying their position in the industry.","Corkum continues to lead Carbon Robotics, focusing on scaling the business and addressing the social implications of automation. His work emphasizes the need for accessible robotics to free people from hazardous jobs, showcasing a commitment to social responsibility alongside technological advancement.","Co-founded Carbon Robotics, recognized as one of the Top 50 most influential companies in the robotics industry. Won the DukeGEN Startup Showcase in 2015. Developed a robotic arm that is cost-effective and easy to use, transforming automation for small to mid-size manufacturers.",Carbon Robotics,Corkum is driven by a desire to create impactful technological solutions that not only enhance operational efficiency but also contribute to a safer and more equitable work environment.,"To innovate in the field of robotics by providing accessible solutions that enable manufacturers to automate tasks efficiently, while addressing labor challenges and ensuring safety in manufacturing jobs.","""If you have an idea, do it. If you don’t have an idea, do something. Just build."" - Dan Corkum","https://today.duke.edu/2016/12/duke-startup-challenge-carbon-robotics-co-founders, https://carbonrobotics.com"
